run,round,accuracy,f1,precision,recall,fpr,auc,evasion_rate,loss,epsilon,adv_accuracy,n_clients,n_byzantine,aggregator
step6_undefended,1,0.8606230031948882,0.7164906580016247,0.6988906497622821,0.735,0.09978991596638656,0.9030707282913165,0.265,0.44408769586256575,0.0,0.0,4,0,fedavg
step6_undefended,2,0.9373003194888179,0.8707818930041152,0.8601626016260162,0.8816666666666667,0.045168067226890755,0.9636957282913166,0.11833333333333333,0.27854536048003603,0.0,0.0,4,0,fedavg
step6_undefended,3,0.9516773162939297,0.9031224979983987,0.8690292758089369,0.94,0.044642857142857144,0.9767156862745098,0.06,0.18724250953112329,0.0,0.0,4,0,fedavg
step6_undefended,4,0.9592651757188498,0.9176090468497577,0.890282131661442,0.9466666666666667,0.03676470588235294,0.9856792717086835,0.05333333333333334,0.14768004044890404,0.0,0.0,4,0,fedavg
step6_undefended,5,0.9644568690095847,0.9279352226720647,0.9023622047244094,0.955,0.032563025210084036,0.9903054971988795,0.045,0.12428383342921734,0.0,0.0,4,0,fedavg
step6_undefended,6,0.96685303514377,0.932684509326845,0.9083728278041074,0.9583333333333334,0.03046218487394958,0.9933403361344538,0.041666666666666664,0.10945105765547071,0.0,0.0,4,0,fedavg
step6_undefended,7,0.9704472843450479,0.9401294498381877,0.9135220125786163,0.9683333333333334,0.02888655462184874,0.9936572128851541,0.03166666666666667,0.09852848614432982,0.0,0.0,4,0,fedavg
step6_undefended,8,0.9708466453674122,0.9408906882591094,0.9149606299212598,0.9683333333333334,0.028361344537815126,0.9940633753501401,0.03166666666666667,0.09084139072469302,0.0,0.0,4,0,fedavg
step6_undefended,9,0.9744408945686901,0.9484702093397746,0.9174454828660437,0.9816666666666667,0.027836134453781514,0.9948730742296918,0.018333333333333333,0.082900089278285,0.0,0.0,4,0,fedavg
step6_undefended,10,0.9736421725239617,0.9467741935483871,0.9171875,0.9783333333333334,0.027836134453781514,0.9953300070028012,0.021666666666666667,0.08045810181647539,0.0,0.0,4,0,fedavg
