run,round,accuracy,f1,precision,recall,fpr,auc,evasion_rate,loss,epsilon,adv_accuracy,n_clients,n_byzantine,aggregator
step5_fedavg_gnn,1,0.8606230031948882,0.7164906580016247,0.6988906497622821,0.735,0.09978991596638656,0.9030707282913165,0.265,0.44408769586256575,0.0,0.0,4,0,fedavg
step5_fedavg_gnn,2,0.9373003194888179,0.8705688375927452,0.8613376835236541,0.88,0.044642857142857144,0.9634121148459384,0.12,0.27945198704089436,0.0,0.0,4,0,fedavg
step5_fedavg_gnn,3,0.952076677316294,0.9038461538461539,0.8703703703703703,0.94,0.04411764705882353,0.9765423669467788,0.06,0.18999519358788217,0.0,0.0,4,0,fedavg
step5_fedavg_gnn,4,0.9616613418530351,0.921951219512195,0.9,0.945,0.03308823529411765,0.9857414215686274,0.055,0.1397271611328636,0.0,0.0,4,0,fedavg
step5_fedavg_gnn,5,0.9624600638977636,0.9239482200647249,0.8977987421383647,0.9516666666666667,0.03413865546218487,0.9904289215686275,0.04833333333333333,0.1251959539949894,0.0,0.0,4,0,fedavg
step5_fedavg_gnn,6,0.9680511182108626,0.9351701782820098,0.9100946372239748,0.9616666666666667,0.029936974789915968,0.9931591386554622,0.03833333333333333,0.10829873436263629,0.0,0.0,4,0,fedavg
step5_fedavg_gnn,7,0.9700479233226837,0.9392712550607287,0.9133858267716536,0.9666666666666667,0.02888655462184874,0.9935731792717086,0.03333333333333333,0.09933996799268893,0.0,0.0,4,0,fedavg
step5_fedavg_gnn,8,0.9728434504792333,0.9451612903225807,0.915625,0.9766666666666667,0.028361344537815126,0.9944660364145659,0.023333333333333334,0.09400288534483739,0.0,0.0,4,0,fedavg
step5_fedavg_gnn,9,0.9744408945686901,0.9485530546623794,0.9161490683229814,0.9833333333333333,0.028361344537815126,0.9948468137254902,0.016666666666666666,0.08710719605109521,0.0,0.0,4,0,fedavg
step5_fedavg_gnn,10,0.9736421725239617,0.9467741935483871,0.9171875,0.9783333333333334,0.027836134453781514,0.9951917016806723,0.021666666666666667,0.08156175632029772,0.0,0.0,4,0,fedavg
step5_fedavg_gnn,11,0.9736421725239617,0.9467741935483871,0.9171875,0.9783333333333334,0.027836134453781514,0.9959182422969187,0.021666666666666667,0.07790515778054084,0.0,0.0,4,0,fedavg
step5_fedavg_gnn,12,0.9752396166134185,0.9501607717041801,0.9177018633540373,0.985,0.027836134453781514,0.9956416316526611,0.015,0.07621200203097292,0.0,0.0,4,0,fedavg
step5_fedavg_gnn,13,0.9740415335463258,0.9476228847703464,0.9173166926677067,0.98,0.027836134453781514,0.9964390756302521,0.02,0.07383170637435146,0.0,0.0,4,0,fedavg
step5_fedavg_gnn,14,0.9740415335463258,0.9475383373688459,0.918622848200313,0.9783333333333334,0.0273109243697479,0.9966762955182072,0.021666666666666667,0.07364728468071137,0.0,0.0,4,0,fedavg
step5_fedavg_gnn,15,0.9740415335463258,0.9476228847703464,0.9173166926677067,0.98,0.027836134453781514,0.9966141456582633,0.02,0.06818248221783765,0.0,0.0,4,0,fedavg
