run,round,accuracy,f1,precision,recall,fpr,auc,evasion_rate,loss,epsilon,adv_accuracy,n_clients,n_byzantine,aggregator
step6_defended,1,0.8494408945686901,0.7010309278350516,0.6686838124054463,0.7366666666666667,0.11502100840336134,0.9213585434173669,0.2633333333333333,0.4754333879266467,0.0,0.0,4,0,fedavg
step6_defended,2,0.935702875399361,0.8672712283594395,0.8580750407830342,0.8766666666666667,0.04569327731092437,0.9658937324929971,0.12333333333333334,0.3040206975170544,0.0,0.0,4,0,fedavg
step6_defended,3,0.9528753993610224,0.9028006589785832,0.8925081433224755,0.9133333333333333,0.03466386554621849,0.9855619747899159,0.08666666666666667,0.11948035727293771,0.0,0.0,4,0,fedavg
step6_defended,4,0.9596645367412141,0.9168724279835391,0.9056910569105691,0.9283333333333333,0.03046218487394958,0.9872452731092437,0.07166666666666667,0.0947930901880372,0.0,0.0,4,0,fedavg
step6_defended,5,0.9636581469648562,0.9255928045789044,0.9085072231139647,0.9433333333333334,0.029936974789915968,0.9895491946778712,0.056666666666666664,0.08315876284830954,0.0,0.0,4,0,fedavg
step6_defended,6,0.9676517571884984,0.934092758340114,0.9125596184419714,0.9566666666666667,0.02888655462184874,0.9906696428571429,0.043333333333333335,0.0836417342252979,0.0,0.0,4,0,fedavg
step6_defended,7,0.9672523961661342,0.9328968903436988,0.9163987138263665,0.95,0.0273109243697479,0.992531512605042,0.05,0.07650323309874585,0.0,0.0,4,0,fedavg
step6_defended,8,0.9672523961661342,0.9332247557003257,0.9124203821656051,0.955,0.02888655462184874,0.9931004901960784,0.045,0.07444632666061364,0.0,0.0,4,0,fedavg
step6_defended,9,0.9688498402555911,0.9365853658536586,0.9142857142857143,0.96,0.028361344537815126,0.9936580882352941,0.04,0.07070298546710427,0.0,0.0,4,0,fedavg
step6_defended,10,0.9696485623003195,0.9383116883116883,0.9145569620253164,0.9633333333333334,0.028361344537815126,0.9924028361344538,0.03666666666666667,0.06908122073895227,0.0,0.0,4,0,fedavg
